id,party,list_pos,electorate,name
52,ACT New Zealand,53,Dunedin,"NEWMAN, Tim"
122,Freedoms NZ,16,Tukituki,"NGAHUKA, Michael"
393,Te Pāti Māori,1,Te Tai Hauāuru,"NGAREWA-PACKER, Debbie"
382,NewZeal,1,,"NGARO, Alf Metuakore"
236,Labour Party,46,Ōtaki,"NGOBI, Terisa"
297,National Party,39,Te Atatū,"NICHOLAS, Angee"
387,NewZeal,6,,"NIMMO, Charles"
280,National Party,22,Napier,"NIMON, Katie"
184,Green Party,43,Remutaka,"NORTON, Chris"
328,New Conservatives,5,Ilam,"O'BRIEN, Chris"
99,DemocracyNZ,6,Ilam,"O'CONNELL, Juanita"
82,Aotearoa Legalise Cannabis Party,5,Invercargill,"O'CONNELL, Kevin Patrick"
185,Green Party,44,Taupō,"O'CONNOR PATENA, George"
200,Labour Party,10,West Coast-Tasman,"O'CONNOR, Damien"
512,Labour Party,,Ōhāriu,"O'CONNOR, Greg"
312,National Party,54,Tāmaki,"O'CONNOR, Simon"
462,,,Dunedin,"O'MALLEY, Jim"
411,Te Pāti Māori,19,,"O'SULLIVAN, Conor"
372,New Zealand First Party,29,Waitaki,"ODERING, Anthony"
503,New Zealand Loyal,,New Lynn,"OLIVER, Steve"
227,Labour Party,37,Wellington Central,"OMER, Ibrahim"
57,ACT New Zealand,58,Maungakiekie,"ONISHCHENKO, Margo"
442,Women’s Rights Party,6,,"ORMSBY, Catherine"
574,Money Free Party NZ,,West Coast-Tasman,"OSMASTON, Richard"
437,Women’s Rights Party,1,,"OVENS, Jill"
448,Women’s Rights Party,12,,"OWEN-JONES, Adrienne"
436,The Opportunities Party (TOP),13,Waikato,"OWEN, Megan"
137,Freedoms NZ,31,East Coast,"PACKER, Leighton"
241,Labour Party,51,Ilam,"PALLETT, Sarah"
491,,,Māngere,"PAO STANLEY, Brooke"
457,,,Christchurch East,"PARK, Sam"
422,Te Pāti Māori,30,Hamilton East,"PARKER, Awatea"
203,Labour Party,13,,"PARKER, David"
23,ACT New Zealand,24,Hutt South,"PARKINS, Andy"
12,ACT New Zealand,13,Hamilton East,"PARMAR, Himanshu"
8,ACT New Zealand,9,Pakuranga,"PARMAR, Parmjeet"
347,New Zealand First Party,4,Taieri,"PATTERSON, Mark"
571,Green Party,,Wellington Central,"PAUL, Tamatha"
364,New Zealand First Party,21,Taupō,"PEHI, Tira"
588,Labour Party,,Te Tai Hauāuru,"PEKE-MASON, Soraya"
276,National Party,18,Kaipara ki Mahurangi,"PENK, Chris"
165,Green Party,24,Northland,"PENNEY, Reina Tuai"
545,New Zealand Loyal,,Tāmaki,"PERRATT, Anne"
426,The Opportunities Party (TOP),3,Dunedin,"PETERS, Ben"
403,Te Pāti Māori,11,Māngere,"PETERS, Hilda"
344,New Zealand First Party,1,,"PETERS, Winston"
554,,,Tukituki,"PETROWSKI, Melanie Lorraine"
147,Green Party,6,Banks Peninsula,"PHAM, Lan"
575,,,West Coast-Tasman,"PHELPS, Patrick Sean"
551,,,Te Atatū,"PHILLIPS, Melanie"
389,NewZeal,8,,"PITA, Tracey"
391,NewZeal,10,,"PITA, Watson"
386,NewZeal,5,Remutaka,"PITIROI, Tony"
432,The Opportunities Party (TOP),9,Hamilton West,"POCOCK, Naomi"
404,Te Pāti Māori,12,,"POIHEGATAMA, Arabela"
110,Freedoms NZ,4,Hauraki-Waikato,"POKERE-PHILLIPS, Donna"
555,,,Tukituki,"PONK, Michael"
24,ACT New Zealand,25,Auckland Central,"POOLE, Felix"
282,National Party,24,Hamilton West,"POTAKA, Tama William"
199,Labour Party,9,Northland,"PRIME, Willow-Jean"
419,Te Pāti Māori,27,,"PUE, Elijah"
284,National Party,26,West Coast-Tasman,"PUGH, Maureen"
205,Labour Party,15,Maungakiekie,"RADHAKRISHNAN, Priyanca"
139,Freedoms NZ,33,Taranaki-King Country,"RAISON, Daryl"
304,National Party,46,Panmure-Ōtāhuhu,"RANDHAWA, Navtej"
138,Freedoms NZ,32,Hutt South,"RANGITUTIA, Max"
166,Green Party,25,Tukituki,"RATCLIFFE, Nick"
400,Te Pāti Māori,8,Rotorua,"RAUKAWA-TAIT, Merepeka"
279,National Party,21,Rangitīkei,"REDMAYNE, Suze"
565,Labour Party,,Waitaki,"REILLE, Ethan"
262,National Party,4,Whangārei,"RETI, Shane"
468,,,East Coast,"RICHARDS, Don"
186,Green Party,45,West Coast-Tasman,"RICHARDS, Steve"
459,Labour Party,,Coromandel,"RILEY, Beryl"
62,Animal Justice Party,2,Port Waikato,"RIPPON, Anna Joy"
131,Freedoms NZ,25,Rongotai,"ROA, Merania"
519,Workers Now,,Panmure-Ōtāhuhu,"ROBB, James"
225,Labour Party,35,Taranaki-King Country,"ROBERTS, Angela"
543,New Zealand Loyal,,Taieri,"ROBERTS, Fred"
194,Labour Party,4,,"ROBERTSON, Grant"
111,Freedoms NZ,5,Remutaka,"ROBERTSON, Heker"
90,Aotearoa Legalise Cannabis Party,13,Te Tai Tonga,"ROBIN, Rebecca"
105,DemocracyNZ,12,East Coast,"ROBINSON, Chris"
336,New Nation Party,3,New Plymouth,"ROBINSON, Greg"
161,Green Party,20,Ōhāriu,"RODGERS, Stephanie"
443,Women’s Rights Party,7,,"ROSE, Linde"
222,Labour Party,32,Waimakariri,"ROSEWARNE, Dan"
470,New Zealand Loyal,,Epsom,"ROTHERAY, Anna"
49,ACT New Zealand,50,Rotorua,"ROZEBOOM, Marten"
248,Labour Party,58,,"RUANE, Nick"
201,Labour Party,11,,"RURAWHE, Adrian"
50,ACT New Zealand,51,Ōtaki,"RUSH, Sean Edward"
212,Labour Party,22,New Lynn,"RUSSELL, Deborah"
452,National Party,,Bay of Plenty,"RUTHERFORD, Tom"
214,Labour Party,24,Panmure-Ōtāhuhu,"SALESA, Jenny"
169,Green Party,28,Maungakiekie,"SAMANT, Sapna"
133,Freedoms NZ,27,Tauranga,"SAMUELS, Leon"
535,Labour Party,,Rotorua,"SANDFORD, Ben"
162,Green Party,21,Mt Roskill,"SANIS WALGAMPOLA, Suveen"
187,Green Party,46,Whanganui,"SANSON, Marion"
300,National Party,42,Kelston,"SCHAUMKEL, Ruby"
516,New Zealand Loyal,,Pakuranga,"SCOTHERN, Phil"
333,New Conservatives,10,,"SENN, Steven"
193,Labour Party,3,Kelston,"SEPULONI, Carmel"
13,ACT New Zealand,14,Christchurch East,"SEVERIN, Toni"
0,ACT New Zealand,1,Epsom,"SEYMOUR, David Breen"
566,,,Waitaki,"SHAND, Daniel"
188,Green Party,47,Northcote,"SHAW, Andrew"
143,Green Party,2,,"SHAW, James"
528,New Zealand Loyal,,Rangitata,"SHEARER, Wayne"
303,National Party,45,Wellington Central,"SHEERAN, Scott"
274,National Party,16,Invercargill,"SIMMONDS, Penny"
121,Freedoms NZ,15,,"SIMMONS, Alan"
313,National Party,55,Coromandel,"SIMPSON, Scott"
253,Labour Party,63,Auckland Central,"SIMS, Oscar"
374,New Zealand First Party,31,East Coast,"SINCLAIR, Craig"
455,Labour Party,,Botany,"SINGH, Kharag"
335,New Nation Party,2,Auckland Central,"SLOCUM, Guy Dennis"
100,DemocracyNZ,7,Waitaki,"SMALL, Roger"
498,,,Napier,"SMITH, John Clive"
314,National Party,56,Kaikōura,"SMITH, Stuart"
