candidate,list_pos,party
65213f652536897c4e14e6e0,19,6521429b0327fbb14e67be3f
65213f8e2536897c4e14e83b,19,6521429b0327fbb14e67be40
65213f802536897c4e14e7ab,20,6521429a0327fbb14e67be3c
65213f6a2536897c4e14e701,20,6521429a0327fbb14e67be3d
65213f572536897c4e14e678,20,6521429b0327fbb14e67be3f
65213f762536897c4e14e759,20,6522240a6d9b75f5428cc2b2
65213f672536897c4e14e6ec,21,6521429a0327fbb14e67be3c
65213f602536897c4e14e6b7,22,6521429a0327fbb14e67be39
65213f7e2536897c4e14e796,22,6521429a0327fbb14e67be3c
65213f4c2536897c4e14e634,22,6521429b0327fbb14e67be3f
65213f5a2536897c4e14e68a,22,6522240a6d9b75f5428cc2b2
65213f492536897c4e14e619,23,6521429a0327fbb14e67be34
65213f712536897c4e14e72d,23,6521429a0327fbb14e67be3c
65213f912536897c4e14e85a,23,6521429b0327fbb14e67be40
65213f492536897c4e14e61f,24,6521429a0327fbb14e67be34
65213f742536897c4e14e74a,24,6521429a0327fbb14e67be3c
65213f8b2536897c4e14e821,25,6521429a0327fbb14e67be34
65213f802536897c4e14e7a7,25,6521429a0327fbb14e67be3c
65213f4c2536897c4e14e62f,25,6521429b0327fbb14e67be3f
65213f8e2536897c4e14e83e,25,6521429b0327fbb14e67be40
65213f742536897c4e14e74b,26,6521429a0327fbb14e67be39
65213f532536897c4e14e65f,26,6521429a0327fbb14e67be3c
65213f5a2536897c4e14e68f,26,6521429a0327fbb14e67be3d
65213f742536897c4e14e747,26,6521429b0327fbb14e67be3f
65213f692536897c4e14e6f9,26,6522240a6d9b75f5428cc2b2
65213f7e2536897c4e14e793,27,6521429a0327fbb14e67be3c
65213f6a2536897c4e14e703,27,6521429a0327fbb14e67be3d
65213f912536897c4e14e85d,27,6521429b0327fbb14e67be40
65213f632536897c4e14e6cb,28,6521429a0327fbb14e67be3c
65213f6a2536897c4e14e6fe,28,6521429a0327fbb14e67be3d
65213f532536897c4e14e660,29,6521429a0327fbb14e67be3c
65213f4d2536897c4e14e63a,29,6521429b0327fbb14e67be3f
65213f8e2536897c4e14e83a,29,6521429b0327fbb14e67be40
65213f592536897c4e14e688,30,6521429a0327fbb14e67be3c
65213f782536897c4e14e766,31,6521429a0327fbb14e67be39
65213f562536897c4e14e672,31,6521429a0327fbb14e67be3c
65213f662536897c4e14e6e1,31,6521429b0327fbb14e67be3f
65213f8f2536897c4e14e845,31,6522240a6d9b75f5428cc2b2
65213f492536897c4e14e618,32,6521429a0327fbb14e67be34
65213f562536897c4e14e675,32,6521429a0327fbb14e67be3c
65213f542536897c4e14e663,33,6521429a0327fbb14e67be3c
65213f552536897c4e14e66b,34,6521429a0327fbb14e67be3c
65213f652536897c4e14e6df,34,6521429b0327fbb14e67be3f
65213f622536897c4e14e6c1,34,6522240a6d9b75f5428cc2b2
65213f7c2536897c4e14e782,35,6521429a0327fbb14e67be39
65213f562536897c4e14e674,35,6521429a0327fbb14e67be3c
65213f442536897c4e14e5fd,35,6521429b0327fbb14e67be40
65213f542536897c4e14e665,36,6521429a0327fbb14e67be3c
65213f582536897c4e14e67e,36,6521429b0327fbb14e67be3f
65213f602536897c4e14e6b9,37,6521429a0327fbb14e67be39
65213f552536897c4e14e670,37,6521429a0327fbb14e67be3c
65213f462536897c4e14e602,37,6521429a0327fbb14e67be34
65213f712536897c4e14e733,38,6521429a0327fbb14e67be3c
65213f682536897c4e14e6f2,39,6521429a0327fbb14e67be39
65213f722536897c4e14e735,40,6521429a0327fbb14e67be3c
65213f742536897c4e14e745,41,6521429b0327fbb14e67be3f
65213f542536897c4e14e662,42,6521429a0327fbb14e67be3c
65213f6e2536897c4e14e71b,43,6521429a0327fbb14e67be39
65213f802536897c4e14e7aa,43,6521429a0327fbb14e67be3c
65213f542536897c4e14e666,44,6521429a0327fbb14e67be3c
65213f6e2536897c4e14e71d,45,6521429a0327fbb14e67be39
65213f682536897c4e14e6f3,45,6521429a0327fbb14e67be3c
65213f7e2536897c4e14e794,46,6521429a0327fbb14e67be3c
65213f802536897c4e14e7ac,47,6521429a0327fbb14e67be3c
65213f7c2536897c4e14e784,48,6521429a0327fbb14e67be39
65213f812536897c4e14e7ae,48,6521429a0327fbb14e67be3c
65213f672536897c4e14e6ed,49,6521429a0327fbb14e67be3c
65213f632536897c4e14e6ce,50,6521429a0327fbb14e67be3c
65213f642536897c4e14e6d4,51,6521429a0327fbb14e67be3c
65213f632536897c4e14e6cc,52,6521429a0327fbb14e67be3c
65213f742536897c4e14e74e,53,6521429a0327fbb14e67be3c
65213f4c2536897c4e14e632,53,6521429b0327fbb14e67be3f
65213f7f2536897c4e14e79b,54,6521429b0327fbb14e67be3f
65213f4d2536897c4e14e638,55,6521429b0327fbb14e67be3f
65213f662536897c4e14e6e5,56,6521429b0327fbb14e67be3f
65213f7d2536897c4e14e78f,57,6521429a0327fbb14e67be3c
65213f852536897c4e14e7dd,58,6521429b0327fbb14e67be3f
65213f652536897c4e14e6dc,60,6521429b0327fbb14e67be3f
65213f7e2536897c4e14e791,61,6521429a0327fbb14e67be3c
65213f652536897c4e14e6dd,61,6521429b0327fbb14e67be3f
65213f572536897c4e14e67a,63,6521429b0327fbb14e67be3f
65213f752536897c4e14e755,64,6521429a0327fbb14e67be3c
65213f7e2536897c4e14e799,64,6521429b0327fbb14e67be3f
65213f592536897c4e14e683,74,6521429b0327fbb14e67be3f
6523b89e5f2209c76187abee,57,6521429b0327fbb14e67be3f
6523b8e25f2209c76187abef,24,6521429b0327fbb14e67be3f
